job_id,company_id,company_name,title,location,work_type,experience_level,posting_date,views,applies,workplace_model,Role_Category,Annualized_Salary
3891837772,99546010.0,Havicma Logistics,Data Scientist,United States,FULL_TIME,,1712905464000.0,5.0,,On-site / Hybrid,Data Science,
3893246261,1279359.0,Stefanini North America and APAC,Senior Machine Learning Engineer,"Dearborn, MI",FULL_TIME,,1713534757000.0,1.0,,On-site / Hybrid,Data Science,
3894204625,4501.0,USAA,Data Scientist (Intermediate),"Plano, TX",FULL_TIME,Entry level,1712854724000.0,9.0,2.0,On-site / Hybrid,Data Science,125990.0
3894206499,4501.0,USAA,Data Scientist (Intermediate),"Colorado Springs, CO",FULL_TIME,Entry level,1712854922000.0,5.0,,On-site / Hybrid,Data Science,
3894207377,4501.0,USAA,Data Scientist (Intermediate),"Tampa, FL",FULL_TIME,Entry level,1712854906000.0,8.0,3.0,On-site / Hybrid,Data Science,
3894207883,11448.0,Citi,Client – MCA Architect/ Data Quality and Reporting Lead (SVP),"New York, NY",FULL_TIME,,1712793600000.0,4.0,,On-site / Hybrid,Data Engineering,204500.0
3894208841,2832833.0,CMI Media Group,"Director, Data Analytics","Philadelphia, PA",FULL_TIME,Director,1712856137000.0,2.0,,On-site / Hybrid,Data Analytics,
3894209277,4501.0,USAA,Lead Analytics Engineer,"San Antonio, TX",FULL_TIME,Mid-Senior level,1712855021000.0,4.0,,On-site / Hybrid,Data Engineering,175475.0
3894209906,3603143.0,Tier4 Group,Senior Data Analyst,"Atlanta, GA",FULL_TIME,Mid-Senior level,1712856685000.0,10.0,2.0,On-site / Hybrid,Data Analytics,
3894210138,4501.0,USAA,Data Scientist (Intermediate),"San Antonio, TX",FULL_TIME,Entry level,1712854730000.0,6.0,1.0,On-site / Hybrid,Data Science,
3894211185,17998520.0,Scale AI,"Data Scientist, Marketplace Incentives",San Francisco Bay Area,FULL_TIME,Entry level,1712855103000.0,8.0,1.0,On-site / Hybrid,Data Science,
3894212351,65529778.0,iO Associates - US,SQL Server Database Engineer,"Winter Garden, FL",FULL_TIME,Entry level,1712856570000.0,2.0,,On-site / Hybrid,Data Engineering,100000.0
3894213012,2204354.0,Federal Transit Administration,Transportation Program Specialist/ Transportation Data Analyst,"Washington, DC",FULL_TIME,Entry level,1712855643000.0,4.0,,On-site / Hybrid,Data Analytics,
3894213406,79383535.0,Akkodis,Data Engineer - 100% Remote - Contract to Hire (W2),United States,CONTRACT,Mid-Senior level,1712857196000.0,16.0,3.0,Remote,Data Engineering,156000.0
3894215500,64877765.0,Visionary Innovative Technology Solutions LLC,Onsite job (Only W2 role) :: Data Analyst :: contract,"Wichita, Kansas Metropolitan Area",CONTRACT,Associate,1712857526000.0,6.0,2.0,On-site / Hybrid,Data Analytics,
3894218328,690587.0,"Delta System & Software, Inc.",Data Analyst,"Chesterfield, VA",CONTRACT,Mid-Senior level,1712857291000.0,6.0,1.0,On-site / Hybrid,Data Analytics,
3894270126,13211176.0,Group Nine LLC,GCP Data Architect,"Columbus, Ohio Metropolitan Area",CONTRACT,Mid-Senior level,1712858710000.0,9.0,,On-site / Hybrid,Data Engineering,
3894278840,5273603.0,Peer Consulting Resources Inc.,Senior Einstein Consultant/ Data Architect (On W2),United States,CONTRACT,Mid-Senior level,1712860560000.0,5.0,,On-site / Hybrid,Data Engineering,
3894281851,15506.0,Synechron,Azure Data Engineer,"Weehawken, NJ",FULL_TIME,Mid-Senior level,1712861086000.0,2.0,1.0,On-site / Hybrid,Data Engineering,110000.0
3894285136,95313.0,TalentBridge,DEVOPS BIG DATA AWS ENGINEER,"Greenwood Village, CO",CONTRACT,Mid-Senior level,1712860839000.0,5.0,,On-site / Hybrid,Data Engineering,119600.0
3894285177,17246.0,"Relevante, Inc.",Business Reporting Analyst,"Fort Lauderdale, FL",FULL_TIME,Associate,1711787169000.0,3.0,,On-site / Hybrid,Data Analytics,100000.0
3894285745,1419.0,Capital One,"Senior Data Scientist, Experimentation & Personalization","New York, NY",FULL_TIME,Mid-Senior level,1712862849000.0,5.0,,On-site / Hybrid,Data Science,
3894285749,1419.0,Capital One,"Senior Data Scientist, Experimentation & Personalization","Cambridge, MA",FULL_TIME,Mid-Senior level,1712862850000.0,3.0,,On-site / Hybrid,Data Science,
3894286618,1419.0,Capital One,"Senior Data Scientist, - AI Foundations, Personalization","McLean, VA",FULL_TIME,Mid-Senior level,1712862851000.0,3.0,,On-site / Hybrid,Data Science,
